Package,LibPath,Version,Priority,Built
gridExtra,C:/Users/jrl/Documents/R/win-library/3.4,2.3,NA,3.4.1
gtable,C:/Users/jrl/Documents/R/win-library/3.4,0.2.0,NA,3.4.0
gtools,C:/Users/jrl/Documents/R/win-library/3.4,3.5.0,NA,3.4.0
gutenbergr,C:/Users/jrl/Documents/R/win-library/3.4,0.1.3,NA,3.4.2
haven,C:/Users/jrl/Documents/R/win-library/3.4,1.1.0,NA,3.4.1
here,C:/Users/jrl/Documents/R/win-library/3.4,0.1,NA,3.4.3
highr,C:/Users/jrl/Documents/R/win-library/3.4,0.6,NA,3.4.0
hms,C:/Users/jrl/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
htmltools,C:/Users/jrl/Documents/R/win-library/3.4,0.3.6,NA,3.4.0
htmlwidgets,C:/Users/jrl/Documents/R/win-library/3.4,0.9,NA,3.4.1
httpuv,C:/Users/jrl/Documents/R/win-library/3.4,1.3.5,NA,3.4.1
httr,C:/Users/jrl/Documents/R/win-library/3.4,1.3.1,NA,3.4.1
igraph,C:/Users/jrl/Documents/R/win-library/3.4,1.1.2,NA,3.4.2
igraphdata,C:/Users/jrl/Documents/R/win-library/3.4,1.0.1,NA,3.4.2
ini,C:/Users/jrl/Documents/R/win-library/3.4,0.3.0,NA,3.4.3
irlba,C:/Users/jrl/Documents/R/win-library/3.4,2.3.1,NA,3.4.3
isa2,C:/Users/jrl/Documents/R/win-library/3.4,0.3.5,NA,3.4.2
ISOcodes,C:/Users/jrl/Documents/R/win-library/3.4,2017.09.27,NA,3.4.1
iterators,C:/Users/jrl/Documents/R/win-library/3.4,1.0.9,NA,3.4.3
janeaustenr,C:/Users/jrl/Documents/R/win-library/3.4,0.1.5,NA,3.4.2
jqr,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
jsonlite,C:/Users/jrl/Documents/R/win-library/3.4,1.5,NA,3.4.0
jsonvalidate,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.0
kernlab,C:/Users/jrl/Documents/R/win-library/3.4,0.9-25,NA,3.4.1
knitr,C:/Users/jrl/Documents/R/win-library/3.4,1.18,NA,3.4.3
labeling,C:/Users/jrl/Documents/R/win-library/3.4,0.3,NA,3.4.0
lazyeval,C:/Users/jrl/Documents/R/win-library/3.4,0.2.1,NA,3.4.3
leaflet,C:/Users/jrl/Documents/R/win-library/3.4,1.1.0,NA,3.4.0
LearnBayes,C:/Users/jrl/Documents/R/win-library/3.4,2.15,NA,3.4.0
lubridate,C:/Users/jrl/Documents/R/win-library/3.4,1.7.1,NA,3.4.3
magrittr,C:/Users/jrl/Documents/R/win-library/3.4,1.5,NA,3.4.0
maptools,C:/Users/jrl/Documents/R/win-library/3.4,0.9-2,NA,3.4.0
mapview,C:/Users/jrl/Documents/R/win-library/3.4,2.2.0,NA,3.4.3
markdown,C:/Users/jrl/Documents/R/win-library/3.4,0.8,NA,3.4.0
mclust,C:/Users/jrl/Documents/R/win-library/3.4,5.4,NA,3.4.3
memoise,C:/Users/jrl/Documents/R/win-library/3.4,1.1.0,NA,3.4.0
mime,C:/Users/jrl/Documents/R/win-library/3.4,0.5,NA,3.4.0
miniUI,C:/Users/jrl/Documents/R/win-library/3.4,0.1.1,NA,3.4.0
mnormt,C:/Users/jrl/Documents/R/win-library/3.4,1.5-5,NA,3.4.0
modelr,C:/Users/jrl/Documents/R/win-library/3.4,0.1.1,NA,3.4.1
modeltools,C:/Users/jrl/Documents/R/win-library/3.4,0.2-21,NA,3.4.1
munsell,C:/Users/jrl/Documents/R/win-library/3.4,0.4.3,NA,3.4.0
mvtnorm,C:/Users/jrl/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
NLP,C:/Users/jrl/Documents/R/win-library/3.4,0.1-11,NA,3.4.1
NMF,C:/Users/jrl/Documents/R/win-library/3.4,0.20.6,NA,3.4.2
osmar,C:/Users/jrl/Documents/R/win-library/3.4,1.1-7,NA,3.4.0
pillar,C:/Users/jrl/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
pkgconfig,C:/Users/jrl/Documents/R/win-library/3.4,2.0.1,NA,3.4.0
pkgmaker,C:/Users/jrl/Documents/R/win-library/3.4,0.22,NA,3.4.2
plogr,C:/Users/jrl/Documents/R/win-library/3.4,0.1-1,NA,3.4.0
plyr,C:/Users/jrl/Documents/R/win-library/3.4,1.8.4,NA,3.4.0
png,C:/Users/jrl/Documents/R/win-library/3.4,0.1-7,NA,3.4.1
polyclip,C:/Users/jrl/Documents/R/win-library/3.4,1.6-1,NA,3.4.0
prabclus,C:/Users/jrl/Documents/R/win-library/3.4,2.2-6,NA,3.4.2
praise,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
processx,C:/Users/jrl/Documents/R/win-library/3.4,2.0.0.1,NA,3.4.3
protolite,C:/Users/jrl/Documents/R/win-library/3.4,1.7,NA,3.4.1
psych,C:/Users/jrl/Documents/R/win-library/3.4,1.7.8,NA,3.4.1
purrr,C:/Users/jrl/Documents/R/win-library/3.4,0.2.4,NA,3.4.3
R.methodsS3,C:/Users/jrl/Documents/R/win-library/3.4,1.7.1,NA,3.4.0
R.oo,C:/Users/jrl/Documents/R/win-library/3.4,1.21.0,NA,3.4.0
R.utils,C:/Users/jrl/Documents/R/win-library/3.4,2.6.0,NA,3.4.3
R6,C:/Users/jrl/Documents/R/win-library/3.4,2.2.2,NA,3.4.0
rappdirs,C:/Users/jrl/Documents/R/win-library/3.4,0.3.1,NA,3.4.0
raster,C:/Users/jrl/Documents/R/win-library/3.4,2.6-7,NA,3.4.3
Rcampdf,C:/Users/jrl/Documents/R/win-library/3.4,0.0-0,NA,3.4.0
RColorBrewer,C:/Users/jrl/Documents/R/win-library/3.4,1.1-2,NA,3.4.1
Rcpp,C:/Users/jrl/Documents/R/win-library/3.4,0.12.15,NA,3.4.3
RCurl,C:/Users/jrl/Documents/R/win-library/3.4,1.95-4.10,NA,3.4.3
readr,C:/Users/jrl/Documents/R/win-library/3.4,1.1.1,NA,3.4.0
readxl,C:/Users/jrl/Documents/R/win-library/3.4,1.0.0,NA,3.4.0
registry,C:/Users/jrl/Documents/R/win-library/3.4,0.5,NA,3.4.3
rematch,C:/Users/jrl/Documents/R/win-library/3.4,1.0.1,NA,3.4.0
rematch2,C:/Users/jrl/Documents/R/win-library/3.4,2.0.1,NA,3.4.3
reprex,C:/Users/jrl/Documents/R/win-library/3.4,0.1.1,NA,3.4.3
reshape2,C:/Users/jrl/Documents/R/win-library/3.4,1.4.3,NA,3.4.3
rgdal,C:/Users/jrl/Documents/R/win-library/3.4,1.2-16,NA,3.4.3
rgeos,C:/Users/jrl/Documents/R/win-library/3.4,0.3-26,NA,3.4.3
